code,link_sec,date,doc_title,link_eng,link_es
 PR-3772 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3772,11/10/18,"Argentina. Propuesta de préstamo para el proyecto “Fortalecimiento de las Políticas de Niñez, Adolescencia y Familia”",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9814,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9654
 PR-3771 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3771,11/10/18,Argentina. Propuesta de préstamo para el “Programa de Desarrollo de Corredores Turísticos”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9813,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9653
 PR-3770 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3770,11/10/18,Barbados. Propuesta de préstamo para el proyecto “Apoyo al Marco de Energía Sostenible para Barbados II”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9812,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9652
 PR-3769 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3769,11/10/18,Ecuador. Propuesta de préstamo para el “Programa de Electrificación Rural y Urbano-Marginal del Ecuador”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9811,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9651
 PR-3768-1 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3768-1,12/2/10,Uruguay. Préstamo 2601/OC-UR para el “Programa de Apoyo al Sector Turístico”. Nueva versión,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9748,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9747
 PR-3767 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3767,11/10/11,Trinidad y Tobago. Propuesta de préstamo para el “Programa de Modernización de la WASA y de Rehabilitación de la Infraestructura de Tratamiento y Eliminación de Aguas Residuales”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9805,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9645
 PR-3766 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3766,11/10/11,Uruguay. Propuesta de préstamo para el “Programa de Saneamiento Urbano de la Ciudad de Montevideo (PSU IV) – Financiamiento Suplementario”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9804,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9644
 PR-3765-2 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3765-2,11/11/16,Perú. Propuesta de préstamo para el “Programa de Segunda Generación de Reformas del Sector Saneamiento II”. Versión aprobada,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9849,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9691
 PR-3764 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3764,11/10/11,Nicaragua. Propuesta de préstamo para el proyecto “Mejoramiento del Gasto y Gestión en Salud y Protección Social”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9802,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9642
 PR-3763-1 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3763-1,13/3/28,"Regional. Préstamo 2602/OC-RG para el proyecto “Fundación Covelo – Provisión de Soluciones de Energía Renovable para las Poblaciones Rurales en Centroamérica”, aprobado mediante Resolución DE-129/11. Propuesta de enmienda al préstamo",http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-10095,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9938
 PR-3762 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3762,11/10/04,Trinidad y Tobago. Propuesta de préstamo para el “Programa de Reforma de la Red de Seguridad Social”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9800,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9640
 PR-3761 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3761,11/10/04,Bolivia. Propuesta de préstamo y de financiamiento no reembolsable para el “Programa de Agua Potable y Saneamiento para Pequeñas Localidades y Comunidades Rurales de Bolivia”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9799,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9639
 PR-3760-1 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3760-1,11/11/09,Bolivia. Propuesta de préstamos para el “Programa de Registro Único de Beneficiarios”. Nueva versión,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9841,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9683
 PR-3759 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3759,11/10/04,Brasil. Propuesta de préstamo para el proyecto “Banorte Todo Dia: El Banco Vecino”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9797,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9637
 PR-3758 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3758,11/10/04,Uruguay. Propuesta de préstamo para el “Programa de Desarrollo Productivo Rural”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9796,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9636
 PR-3757-1 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3757-1,11/10/04,Argentina. Resumen ejecutivo del préstamo de emergencia para el “Programa de Emergencia en Respuesta a la Erupción del Volcán Puyehue”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9792,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9632
 PR-3756-2 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3756-2,11/10/14,Paraguay. Propuesta de préstamo de cooperación técnica para el “Programa de Apoyo a la Modernización del Banco Nacional de Fomento”. Versión aprobada,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9808,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9648
 PR-3755 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3755,11/9/27,Uruguay. Propuesta de préstamo para el “Programa de Apoyo a la Gestión del Gobierno Electrónico en Uruguay II”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9362,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9196
 PR-3754 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3754,11/9/27,Uruguay. Propuesta de préstamo para el “Programa de Apoyo a los Servicios Globales de Exportación”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9361,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9195
